Longitude,Latitude,Stoptime,Capacity
4.1959556,51.9829197,990.0,123.77
4.7251848,51.8343072,840.0,83.5
4.9962519,51.8333662,840.0,68.0
4.4774718,51.8888083,840.0,66.5
4.6980749,52.0240285,600.0,39.0
4.6571201,52.1353878,930.0,73.09
3.9873694,51.3541055,840.0,90.0
3.8837856,51.5140443,600.0,47.0
4.69665,51.83325,960.0,83.5
4.5677731,51.9661865,840.0,70.5
4.9575801,51.956609,150.0,2.86
4.5786141,51.9232021,600.0,46.0
4.66862,51.79218,720.0,52.0
4.2940834,52.0259736,420.0,85.1
4.5244349,51.5874165,750.0,91.94
4.4432469,52.0048235,120.0,3.96
4.6951858,51.831589,600.0,83.0
4.4882163,51.9064958,840.0,64.5
4.4968596,52.0706834,600.0,39.5
4.6575104,51.8012624,840.0,73.0
4.1572426,52.0037777,600.0,75.0
4.3377079,52.0843014,600.0,46.0
4.7659902,51.8220072,840.0,74.0
4.4676999,52.0006809,900.0,109.0
3.5736139,51.4554049,600.0,65.0
4.4044086,52.0623873,600.0,62.0
4.3781954,52.0859647,840.0,80.0
4.3135632,51.8549437,840.0,67.0
4.2055,51.99576,720.0,28.5
4.3899253,52.0932458,1080.0,47.0
4.4627228,51.9351298,600.0,86.0
4.4752227,51.8895398,420.0,45.5
4.622446,51.9681712,720.0,56.06
4.4569949,51.9437701,600.0,66.0
4.3524864,52.0624632,840.0,81.0
4.5825299,51.6443642,840.0,74.0
4.2761965,52.0788891,840.0,70.0
4.3355129,51.9138458,600.0,56.0
4.3055251,52.0675965,1020.0,66.0
4.35549,52.0231943,150.0,2.81
4.5707938,51.9477897,930.0,134.0
4.4696002,51.8843984,690.0,93.0
4.4395815,51.9358547,600.0,48.5
4.6525397,51.8633855,1080.0,53.0
4.5600038,51.8857812,690.0,43.45
4.330231,51.9120663,600.0,52.0
4.155055,51.825168,840.0,72.0
4.6403987,51.8744997,840.0,66.5
4.6383733,51.819234,840.0,83.5
4.9770958,51.8299616,900.0,103.0
4.4654418,51.8919095,690.0,44.86
4.4762701,51.8996427,840.0,104.5
4.3281998,52.0584276,420.0,31.73
4.44487,52.11462,810.0,57.81
4.33228,52.08487,390.0,0
4.4355487,51.7286094,930.0,170.0
4.4765987,52.1477319,420.0,60.0
4.378514,52.0812307,840.0,81.0
4.4734675,51.9317449,630.0,77.78
4.5831393,51.9764699,960.0,65.1
4.4913981,51.912281,600.0,76.5
4.6667055,52.1450849,600.0,69.0
4.5935856,51.9121901,600.0,76.5
4.9975153,51.8327286,840.0,77.0
4.6607752,51.8275293,840.0,98.0
4.7265083,52.0211854,600.0,79.0
4.4879884,51.8891355,600.0,46.0
4.3509007,51.7984218,840.0,70.5
4.5205246,51.9540787,600.0,28.0
4.2102091,51.9887938,840.0,76.0
4.3951419,52.006733,600.0,71.0
4.4911086,51.8472191,840.0,81.0
4.4604581,51.9929614,690.0,102.8
4.3365791,52.0820873,600.0,33.0
4.2766718,52.1083085,600.0,74.0
4.3948787,51.909505,840.0,83.5
4.3115498,51.8518281,840.0,72.0
4.4969486,51.9434284,600.0,28.0
4.7120291,52.0248547,600.0,69.5
4.35455,52.06674,960.0,80.0
4.3462701,52.0878974,600.0,89.5
4.4947596,51.7977886,600.0,32.0
3.9383019,51.8079427,900.0,105.0
4.4385778,51.9149479,600.0,56.0
4.6559611,52.1527119,840.0,81.0
4.6160127,51.9132697,600.0,78.5
4.2450143,51.9068809,900.0,137.5
4.3603564,51.9367857,600.0,40.5
4.4238121,52.1038465,600.0,72.8
4.4843585,51.9010246,840.0,68.0
4.7976305,51.8207142,600.0,38.0
4.811143,52.014482,1080.0,46.0
4.622416,51.9210205,300.0,24.0
4.2892933,52.0609795,840.0,63.0
4.3964449,52.0940861,930.0,126.0
4.4355487,51.7286094,930.0,170.0
4.2835676,52.0835177,990.0,110.35
4.7759988,52.185599,600.0,39.5
4.5835226,51.9757112,600.0,40.0
4.7697077,52.1493325,600.0,79.0
